supplier_name,supplier_address,email,contact_number,fax,account_number,order_history,contract,supplier_country,supplier_city,country_code
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,417,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,293,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,315,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,504,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,139,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,15,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,372,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,377,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,271,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,488,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,499,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,136,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,624,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,213,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,531,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,130,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,442,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,660,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,611,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,304,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,438,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,618,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,95,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,472,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,60,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,32,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,272,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,458,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,358,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,612,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,562,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,545,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,339,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,12,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,228,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,311,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,405,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,532,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,152,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,280,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,589,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,594,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,306,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,186,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,662,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,634,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,554,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,588,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,530,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,477,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,637,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,668,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,429,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,246,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,29,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,291,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,460,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,98,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,363,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,435,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,185,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,1,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,587,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,444,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,110,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,478,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,191,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,309,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,571,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,255,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,252,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,253,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,355,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,351,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,569,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,494,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,430,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,224,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,643,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,572,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,307,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,626,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,567,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,535,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,120,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,83,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,65,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,664,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,258,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,590,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,394,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,638,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,151,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,123,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,398,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,625,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,538,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,208,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,440,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,234,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,276,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,58,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,471,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,140,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,212,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,183,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,373,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,43,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,512,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,470,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,432,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,598,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,403,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,263,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,416,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,329,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,216,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,641,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,409,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,447,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,156,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,26,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,281,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,524,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,229,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,573,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,149,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,418,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,561,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,322,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,436,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,375,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,148,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,204,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,105,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,454,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,549,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,250,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,423,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,20,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,41,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,387,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,496,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,84,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,410,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,125,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,349,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,441,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,605,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,536,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,445,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,522,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,162,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,226,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,540,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,326,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,5,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,330,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,327,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,541,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,92,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,262,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,361,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,111,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,467,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,591,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,452,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,481,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,106,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,337,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,628,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,313,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,389,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,161,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,369,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,249,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,584,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,180,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,27,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,595,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,73,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,428,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,348,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,318,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,570,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,390,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,265,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,608,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,622,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,382,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,509,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,153,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,38,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,395,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,639,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,55,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,298,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,649,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,118,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,174,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,297,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,407,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,463,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,661,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,484,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,37,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,656,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,235,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,103,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,172,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,146,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,580,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,173,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,176,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,552,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,46,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,137,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,33,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,78,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,135,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,506,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,539,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,439,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,366,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,459,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,158,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,317,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,555,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,100,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,575,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,614,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,466,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,523,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,259,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,109,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,357,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,2,Yes,UK,London,+44
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,663,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,11,Yes,UK,London,+44
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,67,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,80,No,Canada,Toronto,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,462,No,Germany,Berlin,+49
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,474,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,116,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,582,Yes,USA,New York,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,378,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,179,No,Canada,Toronto,+1
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,404,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,81,Yes,USA,New York,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,434,Yes,USA,New York,+1
